Iteration,Modelname,Metricname,Joint,Result
0,kNN,Mean Square Error,0,0.927546210649048
0,kNN,Mean Square Error,3,0.1427834045860863
0,kNN,R squared,0,-0.023118454492095264
0,kNN,R squared,3,0.7696783023407056
0,kNN,Standard Deviation of Error,0,0.957456576354491
0,kNN,Standard Deviation of Error,3,0.3584349314867398
0,kNN,Standard deviation per Recording (avg),0,0.2870553660856755
0,kNN,Standard deviation per Recording (avg),3,0.13717647980172124
0,kNN,Ratio of Outliers (>= 0.5 rad),0,0.6859696851923824
0,kNN,Ratio of Outliers (>= 0.5 rad),3,0.19704624951418578
0,Linear,Mean Square Error,0,0.7768880247358371
0,Linear,Mean Square Error,3,0.03654208663098975
0,Linear,R squared,0,0.14306320692642027
0,Linear,R squared,3,0.9410545262367086
0,Linear,Standard Deviation of Error,0,0.878559530235812
0,Linear,Standard Deviation of Error,3,0.19099190255213833
0,Linear,Standard deviation per Recording (avg),0,0.40567825092096355
0,Linear,Standard deviation per Recording (avg),3,0.17320965878457503
0,Linear,Ratio of Outliers (>= 0.5 rad),0,0.6070734551107656
0,Linear,Ratio of Outliers (>= 0.5 rad),3,0.010493587252234746
0,3-Layer FC,Mean Square Error,0,0.8330775936003795
0,3-Layer FC,Mean Square Error,3,0.026827844365208884
0,3-Layer FC,R squared,0,0.08108399317378112
0,3-Layer FC,R squared,3,0.9567244199236837
0,3-Layer FC,Standard Deviation of Error,0,0.9118225387185583
0,3-Layer FC,Standard Deviation of Error,3,0.16377590738036202
0,3-Layer FC,Standard deviation per Recording (avg),0,0.501453992621652
0,3-Layer FC,Standard deviation per Recording (avg),3,0.14194172334212524
0,3-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.569374271278663
0,3-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.003497862417411582
0,4-Layer FC,Mean Square Error,0,0.7673659034401819
0,4-Layer FC,Mean Square Error,3,0.02457552957817821
0,4-Layer FC,R squared,0,0.15356646586020417
0,4-Layer FC,R squared,3,0.9603575940093967
0,4-Layer FC,Standard Deviation of Error,0,0.8751304833192298
0,4-Layer FC,Standard Deviation of Error,3,0.15657051486662624
0,4-Layer FC,Standard deviation per Recording (avg),0,0.4716644287109375
0,4-Layer FC,Standard deviation per Recording (avg),3,0.12821565883663985
0,4-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.567431014380101
0,4-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.00388651379712398
0,5-Layer FC,Mean Square Error,0,0.80178029537009
0,5-Layer FC,Mean Square Error,3,0.02859497553308326
0,5-Layer FC,R squared,0,0.11560609355813334
0,5-Layer FC,R squared,3,0.9538738880166224
0,5-Layer FC,Standard Deviation of Error,0,0.8950394316203364
0,5-Layer FC,Standard Deviation of Error,3,0.16902628471533068
0,5-Layer FC,Standard deviation per Recording (avg),0,0.4675040543079376
0,5-Layer FC,Standard deviation per Recording (avg),3,0.12831080934176078
0,5-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.5720948309366498
0,5-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.004663816556548776
0,1-Channel CNN,Mean Square Error,0,0.6375103886183601
0,1-Channel CNN,Mean Square Error,3,0.04242353128072619
0,1-Channel CNN,R squared,0,0.29680199645313377
0,1-Channel CNN,R squared,3,0.9315672589990112
0,1-Channel CNN,Standard Deviation of Error,0,0.7975659843029469
0,1-Channel CNN,Standard Deviation of Error,3,0.2058366508218802
0,1-Channel CNN,Standard deviation per Recording (avg),0,0.4564649195506655
0,1-Channel CNN,Standard deviation per Recording (avg),3,0.1758600567968992
0,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.5347842984842596
0,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.00777302759424796
0,2-Channel CNN,Mean Square Error,0,0.5449915465190327
0,2-Channel CNN,Mean Square Error,3,0.2680030795006783
0,2-Channel CNN,R squared,0,0.3988537688104652
0,2-Channel CNN,R squared,3,0.5676883848829997
0,2-Channel CNN,Standard Deviation of Error,0,0.7361018827605297
0,2-Channel CNN,Standard Deviation of Error,3,0.5162562651740926
0,2-Channel CNN,Standard deviation per Recording (avg),0,0.515634312711913
0,2-Channel CNN,Standard deviation per Recording (avg),3,0.20573504068530524
0,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.4442285270112709
0,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.0027205596579867857
0,3-Channel CNN,Mean Square Error,0,0.6397879070721977
0,3-Channel CNN,Mean Square Error,3,0.1906915839975356
0,3-Channel CNN,R squared,0,0.2942898076976679
0,3-Channel CNN,R squared,3,0.6923983604188955
0,3-Channel CNN,Standard Deviation of Error,0,0.799123611659914
0,3-Channel CNN,Standard Deviation of Error,3,0.4357970625380691
0,3-Channel CNN,Standard deviation per Recording (avg),0,0.5217300992587517
