idx,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,samples,SR,session_id,notes
0, 0.8832664489746094, -0.04377219080924988, -0.11672354489564896, -1.7678780555725098, -0.04297875612974167, 1.8112214803695679, 0.039997607469558716, 0.0, 80896, 16000, 0, 
1, 0.7288931012153625, -0.04258222505450249, -0.11871054023504257, -1.768171787261963, -0.042987387627363205, 1.811216950416565, 0.03966020420193672, 0.0, 80896, 16000, 0, 
2, 0.5538104176521301, -0.04161468520760536, -0.10301727801561356, -1.7683771848678589, -0.04301484674215317, 1.8112114667892456, 0.03965214267373085, 0.0, 80896, 16000, 0, 
3, 0.410330206155777, -0.03828240931034088, -0.0957975909113884, -1.7682878971099854, -0.04301780089735985, 1.811259150505066, 0.038886018097400665, 0.0, 80896, 16000, 0, 
4, 0.168166384100914, -0.039483118802309036, -0.09818637371063232, -1.7677066326141357, -0.04334546998143196, 1.8112577199935913, 0.04003084450960159, 0.0, 80896, 16000, 0, 
5, 0.12139268219470978, -0.04937288910150528, -0.03514360263943672, -1.7561981678009033, -0.043342966586351395, 1.8115204572677612, 0.04076981171965599, 0.0, 80896, 16000, 0, 
6, -0.07573643326759338, -0.04962794855237007, -0.06133875623345375, -1.7431936264038086, -0.043345723301172256, 1.811551570892334, 0.0402325764298439, 0.0, 80896, 16000, 0, 
7, -0.31192976236343384, -0.05454195290803909, -0.09811413288116455, -1.7350679636001587, -0.04327573999762535, 1.8115735054016113, 0.04142506793141365, 0.0, 80896, 16000, 0, 
8, -0.48751187324523926, -0.053810637444257736, -0.010363544337451458, -1.735048770904541, -0.04328411817550659, 1.811551809310913, 0.04169144108891487, 0.0, 80896, 16000, 0, 
9, -0.6245437264442444, -0.05358540639281273, -0.011053293943405151, -1.7221286296844482, -0.043310124427080154, 1.8128374814987183, 0.040069881826639175, 0.0, 80896, 16000, 0, 
10, -0.705200731754303, -0.05454886704683304, -0.01096407976001501, -1.7184542417526245, -0.043307363986968994, 1.8129158020019531, 0.04016812518239021, 0.0, 80896, 16000, 1, Noisy lab talk and finger
11, -0.8798609972000122, -0.04045388847589493, -0.011208520270884037, -1.718784213066101, -0.04305931180715561, 1.812931776046753, 0.040300402790308, 0.0, 80896, 16000, 1, Noisy lab talk and finger
