Iteration,Modelname,Metricname,Result
0,SVM,Mean Square Error,0.0294048327562466
0,Linear,Mean Square Error,0.0364745417828899
0,Linear,R squared,0.8657642304173214
0,SVM,R squared,0.8917825924180267
0,Linear,Standard Deviation of Error,0.1907880045155456
0,SVM,Standard Deviation of Error,0.1714203177565173
0,SVM,Standard deviation per Recording (avg),0.1259635366727071
0,Linear,Standard deviation per Recording (avg),0.1510187078904169
0,Linear,Ratio of Outliers (>= 0.5 rad),0.0133779264214046
0,SVM,Ratio of Outliers (>= 0.5 rad),0.0100334448160535
1,SVM,Mean Square Error,0.0454062028615683
0,3-Layer FC,Mean Square Error,0.0224980012901739
1,SVM,R squared,0.7311441955552648
0,3-Layer FC,R squared,0.9172015227707322
0,3-Layer FC,Standard Deviation of Error,0.1496707795676162
1,SVM,Standard Deviation of Error,0.211772693611358
1,SVM,Standard deviation per Recording (avg),0.1137525682146558
0,3-Layer FC,Standard deviation per Recording (avg),0.121853269636631
1,SVM,Ratio of Outliers (>= 0.5 rad),0.027870680044593
0,3-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0066889632107023
0,4-Layer FC,Mean Square Error,0.0220256486479927
2,SVM,Mean Square Error,0.0363174943471198
0,4-Layer FC,R squared,0.9189399029487484
2,SVM,R squared,0.8435283447093453
2,SVM,Standard Deviation of Error,0.190506418320354
0,4-Layer FC,Standard Deviation of Error,0.1480236738899502
0,4-Layer FC,Standard deviation per Recording (avg),0.1178549602627754
2,SVM,Standard deviation per Recording (avg),0.11445334850125
2,SVM,Ratio of Outliers (>= 0.5 rad),0.0222965440356744
0,4-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0089186176142697
0,3-Channel CNN,Mean Square Error,0.0168424154661477
3,SVM,Mean Square Error,0.0234731183376221
0,5-Layer FC,Mean Square Error,0.020389117164004
0,5-Layer FC,R squared,0.924962763071492
3,SVM,R squared,0.8381075932864872
0,3-Channel CNN,R squared,0.9380155447822486
0,5-Layer FC,Standard Deviation of Error,0.142102316645996
0,3-Channel CNN,Standard Deviation of Error,0.1258510700936555
3,SVM,Standard Deviation of Error,0.1527875266444677
0,5-Layer FC,Standard deviation per Recording (avg),0.1081601530313491
3,SVM,Standard deviation per Recording (avg),0.1159553224651034
0,3-Channel CNN,Standard deviation per Recording (avg),0.1108216717839241
0,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0022296544035674
3,SVM,Ratio of Outliers (>= 0.5 rad),0.0
0,5-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0066889632107023
0,1-Channel CNN,Mean Square Error,0.0293083856924175
0,4-Channel CNN,Mean Square Error,0.0123172582907514
4,SVM,Mean Square Error,0.0343819498947997
0,1-Channel CNN,R squared,0.8921375426162814
4,SVM,R squared,0.8655960798604306
0,4-Channel CNN,R squared,0.9546692963094808
0,1-Channel CNN,Standard Deviation of Error,0.1710540534334826
4,SVM,Standard Deviation of Error,0.1850638354682046
0,4-Channel CNN,Standard Deviation of Error,0.1070646887258182
0,1-Channel CNN,Standard deviation per Recording (avg),0.1486576348543167
4,SVM,Standard deviation per Recording (avg),0.1073390718199943
0,4-Channel CNN,Standard deviation per Recording (avg),0.0894053503870964
4,SVM,Ratio of Outliers (>= 0.5 rad),0.0189520624303233
0,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0
0,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0122630992196209
0,2-Channel CNN,Mean Square Error,0.0233311698500875
5,SVM,Mean Square Error,0.0363367257166289
5,SVM,R squared,0.8896320941071394
0,2-Channel CNN,R squared,0.9141352464759452
0,2-Channel CNN,Standard Deviation of Error,0.1479430820269744
5,SVM,Standard Deviation of Error,0.1869241877936676
5,SVM,Standard deviation per Recording (avg),0.1353759360089918
0,2-Channel CNN,Standard deviation per Recording (avg),0.1272105574607849
0,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0066889632107023
5,SVM,Ratio of Outliers (>= 0.5 rad),0.0111482720178372
6,SVM,Mean Square Error,0.0282117182232957
6,SVM,R squared,0.8828305730313091
6,SVM,Standard Deviation of Error,0.1665303679712379
6,SVM,Standard deviation per Recording (avg),0.1180584442538525
6,SVM,Ratio of Outliers (>= 0.5 rad),0.0044593088071348
7,SVM,Mean Square Error,0.0239535888208668
7,SVM,R squared,0.8822807998488085
7,SVM,Standard Deviation of Error,0.1547401606734351
7,SVM,Standard deviation per Recording (avg),0.1250516285711347
7,SVM,Ratio of Outliers (>= 0.5 rad),0.0033444816053511
8,SVM,Mean Square Error,0.0242525925860072
1,3-Channel CNN,Mean Square Error,0.0233707961147504
1,Linear,Mean Square Error,0.0615850943436915
8,SVM,R squared,0.8791708105168978
1,3-Channel CNN,R squared,0.8616185940695924
1,Linear,R squared,0.6353469561844307
1,3-Channel CNN,Standard Deviation of Error,0.1514963578775329
1,Linear,Standard Deviation of Error,0.2480756738017551
8,SVM,Standard Deviation of Error,0.1536571273557435
1,Linear,Standard deviation per Recording (avg),0.1572430643818739
8,SVM,Standard deviation per Recording (avg),0.1158525820275183
1,3-Channel CNN,Standard deviation per Recording (avg),0.1017965450882911
1,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0111482720178372
1,Linear,Ratio of Outliers (>= 0.5 rad),0.0490523968784838
8,SVM,Ratio of Outliers (>= 0.5 rad),0.0066889632107023
9,SVM,Mean Square Error,0.0366283037697409
1,4-Channel CNN,Mean Square Error,0.0242413462983021
0,kNN,Mean Square Error,0.106676364519639
1,3-Layer FC,Mean Square Error,0.039041030955012
1,4-Channel CNN,R squared,0.8564639575847519
0,kNN,R squared,0.6074033233148541
1,3-Layer FC,R squared,0.7688331742743966
9,SVM,R squared,0.8939530262681806
1,3-Layer FC,Standard Deviation of Error,0.1954322361442267
9,SVM,Standard Deviation of Error,0.1895584799413672
1,4-Channel CNN,Standard Deviation of Error,0.1554887756745666
0,kNN,Standard Deviation of Error,0.2652685617539525
1,3-Layer FC,Standard deviation per Recording (avg),0.11724204570055
1,4-Channel CNN,Standard deviation per Recording (avg),0.109901562333107
0,kNN,Standard deviation per Recording (avg),0.1178455038877965
9,SVM,Standard deviation per Recording (avg),0.1213060242351271
1,3-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0222965440356744
9,SVM,Ratio of Outliers (>= 0.5 rad),0.007803790412486
1,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.007803790412486
0,kNN,Ratio of Outliers (>= 0.5 rad),0.1460423634336677
1,4-Layer FC,Mean Square Error,0.034852872809238
1,4-Layer FC,R squared,0.7936317823160501
1,4-Layer FC,Standard Deviation of Error,0.1848043611932584
1,4-Layer FC,Standard deviation per Recording (avg),0.1064162775874137
1,4-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0111482720178372
1,5-Layer FC,Mean Square Error,0.035759504315543
1,5-Layer FC,R squared,0.7882635038078094
1,5-Layer FC,Standard Deviation of Error,0.187458425989927
1,5-Layer FC,Standard deviation per Recording (avg),0.1054129675030708
1,5-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0156075808249721
1,1-Channel CNN,Mean Square Error,0.0533178048443977
1,1-Channel CNN,R squared,0.6842986109987877
1,1-Channel CNN,Standard Deviation of Error,0.2284611309184932
1,1-Channel CNN,Standard deviation per Recording (avg),0.1341737806797027
1,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.052396878483835
2,3-Channel CNN,Mean Square Error,0.02107685745732
1,2-Channel CNN,Mean Square Error,0.0377374303237858
2,3-Channel CNN,R squared,0.9091916765195672
1,2-Channel CNN,R squared,0.7765519566057776
1,2-Channel CNN,Standard Deviation of Error,0.1942527020542205
2,3-Channel CNN,Standard Deviation of Error,0.1412366240097613
1,2-Channel CNN,Standard deviation per Recording (avg),0.1369996964931488
2,3-Channel CNN,Standard deviation per Recording (avg),0.1051746010780334
1,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0156075808249721
2,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0100334448160535
2,4-Channel CNN,Mean Square Error,0.0208791305870648
2,4-Channel CNN,R squared,0.9100435703861586
2,4-Channel CNN,Standard Deviation of Error,0.1444937900657441
2,4-Channel CNN,Standard deviation per Recording (avg),0.1017012894153595
2,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0089186176142697
2,Linear,Mean Square Error,0.0666466210849634
2,Linear,R squared,0.7128571971122147
2,Linear,Standard Deviation of Error,0.2581089339071516
2,Linear,Standard deviation per Recording (avg),0.1742965774093416
2,Linear,Ratio of Outliers (>= 0.5 rad),0.0323299888517279
2,3-Layer FC,Mean Square Error,0.0316060619108229
2,3-Layer FC,R squared,0.8638272569925359
2,3-Layer FC,Standard Deviation of Error,0.1757728688323945
2,3-Layer FC,Standard deviation per Recording (avg),0.123656116425991
2,3-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0055741360089186
3,3-Channel CNN,Mean Square Error,0.0170388623685499
2,4-Layer FC,Mean Square Error,0.0329424082420106
2,4-Layer FC,R squared,0.8580696923190492
3,3-Channel CNN,R squared,0.8824841933300503
2,4-Layer FC,Standard Deviation of Error,0.1791702397800487
3,3-Channel CNN,Standard Deviation of Error,0.1305075811395841
3,3-Channel CNN,Standard deviation per Recording (avg),0.1071815267205238
2,4-Layer FC,Standard deviation per Recording (avg),0.1191504746675491
2,4-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0066889632107023
