Iteration,Modelname,Metricname,Joint,Result
0,kNN,Mean Square Error,0,0.15036886902448504
0,kNN,Mean Square Error,3,0.5563944422852701
0,kNN,R squared,0,0.8341374660218787
0,kNN,R squared,3,0.10248874589570167
0,kNN,Standard Deviation of Error,0,0.3522413539886061
0,kNN,Standard Deviation of Error,3,0.6495511869746371
0,kNN,Standard deviation per Recording (avg),0,0.22110417981072694
0,kNN,Standard deviation per Recording (avg),3,0.2324681397973552
0,kNN,Ratio of Outliers (>= 0.5 rad),0,0.13641663427905168
0,kNN,Ratio of Outliers (>= 0.5 rad),3,0.4788184998056743
0,kNN,Mean Square Error,0,0.15036886902448504
0,kNN,Mean Square Error,3,0.5563944422852701
0,kNN,R squared,0,0.8341374660218787
0,kNN,R squared,3,0.10248874589570167
0,kNN,Standard Deviation of Error,0,0.3522413539886061
0,kNN,Standard Deviation of Error,3,0.6495511869746371
0,kNN,Standard deviation per Recording (avg),0,0.22110417981072694
0,kNN,Standard deviation per Recording (avg),3,0.2324681397973552
0,kNN,Ratio of Outliers (>= 0.5 rad),0,0.13641663427905168
0,kNN,Ratio of Outliers (>= 0.5 rad),3,0.4788184998056743
0,Linear,Mean Square Error,0,0.09463075600486211
0,Linear,Mean Square Error,3,0.16657964909390208
0,Linear,R squared,0,0.8956187069500671
0,Linear,R squared,3,0.7312929490229022
0,Linear,Standard Deviation of Error,0,0.3075451134307442
0,Linear,Standard Deviation of Error,3,0.407920248517556
0,Linear,Standard deviation per Recording (avg),0,0.2471729074201279
0,Linear,Standard deviation per Recording (avg),3,0.3022111398417054
0,Linear,Ratio of Outliers (>= 0.5 rad),0,0.10454722114263505
0,Linear,Ratio of Outliers (>= 0.5 rad),3,0.22502914885347844
0,3-Layer FC,Mean Square Error,0,0.04498241068443921
0,3-Layer FC,Mean Square Error,3,0.12035646011342184
0,3-Layer FC,R squared,0,0.9503827044190196
0,3-Layer FC,R squared,3,0.8058548589876687
0,3-Layer FC,Standard Deviation of Error,0,0.21151766649282547
0,3-Layer FC,Standard Deviation of Error,3,0.3466569136440728
0,3-Layer FC,Standard deviation per Recording (avg),0,0.17488698661327362
0,3-Layer FC,Standard deviation per Recording (avg),3,0.2663911283016205
0,3-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.03342401865526622
0,3-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.13758258841818888
0,4-Layer FC,Mean Square Error,0,0.04475566668456713
0,4-Layer FC,Mean Square Error,3,0.1105498114538823
0,4-Layer FC,R squared,0,0.950632811602954
0,4-Layer FC,R squared,3,0.8216738119966761
0,4-Layer FC,Standard Deviation of Error,0,0.21137539224965352
0,4-Layer FC,Standard Deviation of Error,3,0.33207539264170427
0,4-Layer FC,Standard deviation per Recording (avg),0,0.1570073962211609
0,4-Layer FC,Standard deviation per Recording (avg),3,0.24103718996047974
0,4-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.030314807617567042
0,4-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.12514574426739214
0,5-Layer FC,Mean Square Error,0,0.04904124545273887
0,5-Layer FC,Mean Square Error,3,0.11666059064640026
0,5-Layer FC,R squared,0,0.945905656583014
0,5-Layer FC,R squared,3,0.8118166087613151
0,5-Layer FC,Standard Deviation of Error,0,0.2214018439170429
0,5-Layer FC,Standard Deviation of Error,3,0.3404580142902485
0,5-Layer FC,Standard deviation per Recording (avg),0,0.15349286794662476
0,5-Layer FC,Standard deviation per Recording (avg),3,0.23683865368366241
0,5-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.03070345899727944
0,5-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.13136416634279052
0,1-Channel CNN,Mean Square Error,0,0.028462868131334387
0,1-Channel CNN,Mean Square Error,3,0.09049949679770632
0,1-Channel CNN,R squared,0,0.9686043829206462
0,1-Channel CNN,R squared,3,0.8540166639100384
0,1-Channel CNN,Standard Deviation of Error,0,0.16745848491682352
0,1-Channel CNN,Standard Deviation of Error,3,0.3007413960235266
0,1-Channel CNN,Standard deviation per Recording (avg),0,0.1556238830089569
0,1-Channel CNN,Standard deviation per Recording (avg),3,0.2621000111103058
0,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.012436844150796735
0,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.08433734939759036
0,2-Channel CNN,Mean Square Error,0,0.009846609830150973
0,2-Channel CNN,Mean Square Error,3,0.05354452861173759
0,2-Channel CNN,R squared,0,0.9891388179739732
0,2-Channel CNN,R squared,3,0.9136281505125013
0,2-Channel CNN,Standard Deviation of Error,0,0.09921880974678826
0,2-Channel CNN,Standard Deviation of Error,3,0.23115697885813116
0,2-Channel CNN,Standard deviation per Recording (avg),0,0.09090448170900345
0,2-Channel CNN,Standard deviation per Recording (avg),3,0.20753075182437897
0,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.001554605518849592
0,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.036921881072677805
0,3-Channel CNN,Mean Square Error,0,0.008645490743455093
0,3-Channel CNN,Mean Square Error,3,0.031110089433931988
0,3-Channel CNN,R squared,0,0.9904636976290594
0,3-Channel CNN,R squared,3,0.9498167967522051
0,3-Channel CNN,Standard Deviation of Error,0,0.09273807758639856
0,3-Channel CNN,Standard Deviation of Error,3,0.17533065788006688
0,3-Channel CNN,Standard deviation per Recording (avg),0,0.08174615353345871
0,3-Channel CNN,Standard deviation per Recording (avg),3,0.16271668672561646
0,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.00194325689856199
0,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.006995724834823164
0,4-Channel CNN,Mean Square Error,0,0.00513540193154018
0,4-Channel CNN,Mean Square Error,3,0.02701783030177619
0,4-Channel CNN,R squared,0,0.994335457978189
0,4-Channel CNN,R squared,3,0.9564179565530391
0,4-Channel CNN,Standard Deviation of Error,0,0.07107800188797997
0,4-Channel CNN,Standard Deviation of Error,3,0.16432541976508458
0,4-Channel CNN,Standard deviation per Recording (avg),0,0.0661713182926178
0,4-Channel CNN,Standard deviation per Recording (avg),3,0.1525280624628067
0,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.0
0,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.007384376214535562
1,kNN,Mean Square Error,0,0.1684895841430237
1,kNN,Mean Square Error,3,0.4304360279828993
1,kNN,R squared,0,0.8154979168794602
1,kNN,R squared,3,0.13488335955940212
1,kNN,Standard Deviation of Error,0,0.37638096744878335
1,kNN,Standard Deviation of Error,3,0.5641215831606149
1,kNN,Standard deviation per Recording (avg),0,0.22840125012837134
1,kNN,Standard deviation per Recording (avg),3,0.2278212730346207
1,kNN,Ratio of Outliers (>= 0.5 rad),0,0.15118538670812282
1,kNN,Ratio of Outliers (>= 0.5 rad),3,0.4034201321414691
1,Linear,Mean Square Error,0,0.09550083966041588
1,Linear,Mean Square Error,3,0.15307317910980156
1,Linear,R squared,0,0.8954231862656244
1,Linear,R squared,3,0.6923441676720088
1,Linear,Standard Deviation of Error,0,0.3081606135856791
1,Linear,Standard Deviation of Error,3,0.39099655260083493
1,Linear,Standard deviation per Recording (avg),0,0.2430724150185293
1,Linear,Standard deviation per Recording (avg),3,0.3146656928443449
1,Linear,Ratio of Outliers (>= 0.5 rad),0,0.10687912942090945
1,Linear,Ratio of Outliers (>= 0.5 rad),3,0.19704624951418578
1,3-Layer FC,Mean Square Error,0,0.04715621658991707
1,3-Layer FC,Mean Square Error,3,0.10595642119201457
1,3-Layer FC,R squared,0,0.948362266800198
1,3-Layer FC,R squared,3,0.7870423078562877
1,3-Layer FC,Standard Deviation of Error,0,0.2166462176018905
1,3-Layer FC,Standard Deviation of Error,3,0.32545486317867145
1,3-Layer FC,Standard deviation per Recording (avg),0,0.18153803050518036
1,3-Layer FC,Standard deviation per Recording (avg),3,0.27062177658081055
1,3-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.03225806451612903
1,3-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.11892732219199378
1,4-Layer FC,Mean Square Error,0,0.044564555290736954
1,4-Layer FC,Mean Square Error,3,0.10127157722283607
1,4-Layer FC,R squared,0,0.9512002280360433
1,4-Layer FC,R squared,3,0.7964581936374963
1,4-Layer FC,Standard Deviation of Error,0,0.21103706965439303
