Modelname,Rotated,True,Predicted
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,nan,-0.37324937719314316
Linear,1,nan,-0.37324937719314316
Linear,0,-1.5708,-0.685568767281087
Linear,1,-1.5708,-0.4770002110107085
Linear,0,-1.5708,-0.9036742922597031
Linear,1,-1.5708,-0.7278947168018126
Linear,0,-1.5708,-0.9493904565250194
Linear,1,-1.5708,-0.07004474045301504
Linear,0,-1.5708,-0.8882056793943004
Linear,1,-1.5708,-0.4889253910651571
Linear,0,-1.5708,-1.2244223901963303
Linear,1,-1.5708,-0.7057598245183055
Linear,0,-1.5708,-0.6944646104773126
Linear,1,-1.5708,-1.1633802070875956
Linear,0,-1.5708,-0.7797365600522138
Linear,1,-1.5708,-1.38166762043541
Linear,0,-1.5708,-1.098337445823366
Linear,1,-1.5708,-1.246980878060976
Linear,0,-1.5708,-0.7325374130214986
Linear,1,-1.5708,-1.1096950826138117
Linear,0,-1.5708,-1.0802570686904869
Linear,1,-1.5708,-0.5189643631285937
Linear,0,-1.5708,-1.1961047779546778
Linear,1,-1.5708,-0.7941211265125273
Linear,0,-1.5708,-1.1194104796643294
Linear,1,-1.5708,-1.2106252752885074
Linear,0,-1.5708,-0.7080167341315409
Linear,1,-1.5708,-0.8756085128468691
Linear,0,-1.5708,-1.0335778807182343
Linear,1,-1.5708,-1.169554472404767
Linear,0,-1.5708,-0.8891088766731303
Linear,1,-1.5708,-1.0838716395832477
Linear,0,-1.5708,-1.3847786025632605
Linear,1,-1.5708,-1.2239111397579747
Linear,0,-1.5708,-0.6063713028688336
Linear,1,-1.5708,-1.1369406111138414
Linear,0,-1.5708,-1.3765467250936962
Linear,1,-1.5708,-1.1775882995776499
Linear,0,-1.5708,-1.5073175913486705
Linear,1,-1.5708,-0.9512690340227737
Linear,0,-1.5708,-0.8944342063152959
Linear,1,-1.5708,-1.4483259794725696
Linear,0,-1.5708,-0.7697995902713501
Linear,1,-1.5708,-0.90788054029235
Linear,0,-1.5708,-1.0364389603476685
Linear,1,-1.5708,-0.7646809542952674
Linear,0,-1.5708,-0.6697636840519328
Linear,1,-1.5708,-1.0473009306958012
Linear,0,-1.5708,-1.2159818080013585
Linear,1,-1.5708,-0.7068749047668923
Linear,0,-1.5708,-0.892497338751345
Linear,1,-1.5708,-0.9473438812897729
Linear,0,-1.5708,-1.2631053064806292
Linear,1,-1.5708,-0.9705779985058015
Linear,0,-1.5708,-1.4350808326736957
Linear,1,-1.5708,-1.0523227477859423
Linear,0,-1.5708,-1.0998572459981988
Linear,1,-1.5708,-0.8464054843863899
Linear,0,-1.5708,-0.598914820944386
Linear,1,-1.5708,-0.9952665292000474
Linear,0,-1.5708,-1.2753389713444945
Linear,1,-1.5708,-1.037323277487897
Linear,0,-1.5708,-0.7735468066242517
Linear,1,-1.5708,-1.055583475153761
Linear,0,-1.5708,-0.746317801523162
Linear,1,-1.5708,-0.6548193005436663
Linear,0,-1.5708,-1.3789557765230958
Linear,1,-1.5708,-0.8753117286695064
Linear,0,-1.5708,-0.7785679208200355
Linear,1,-1.5708,-0.9079584344614626
Linear,0,-1.5708,-1.0035710885882216
Linear,1,-1.5708,-0.9170919480742493
Linear,0,-1.5708,-0.9785237746917719
Linear,1,-1.5708,-1.406530383635383
Linear,0,-1.5708,-1.2940776365138658
Linear,1,-1.5708,-0.8187097597915501
Linear,0,-1.5708,-1.3022343485223893
Linear,1,-1.5708,-1.2335703384371666
Linear,0,-1.5708,-0.8101943461276319
Linear,1,-1.5708,-1.1624225386350044
Linear,0,-1.5066857142857142,-0.7197919454134856
Linear,1,-1.5066857142857142,-0.6546336601167481
Linear,0,-1.5066857142857142,-0.8881619487838679
Linear,1,-1.5066857142857142,-0.7670095957225352
Linear,0,-1.5066857142857142,-0.982932722965687
Linear,1,-1.5066857142857142,-0.6205448056376704
Linear,0,-1.5066857142857142,-0.712391981149524
Linear,1,-1.5066857142857142,-0.7772554181431908
Linear,0,-1.5066857142857142,-0.47435937492535774
Linear,1,-1.5066857142857142,-0.8711304614756875
Linear,0,-1.5066857142857142,-0.8230141129880209
Linear,1,-1.5066857142857142,-0.5707907796980421
Linear,0,-1.5066857142857142,-1.2519369906054947
Linear,1,-1.5066857142857142,-0.5154576625790678
Linear,0,-1.5066857142857142,-0.538040260719564
Linear,1,-1.5066857142857142,-1.0698719487843364
Linear,0,-1.5066857142857142,-1.0650631536872306
Linear,1,-1.5066857142857142,-0.8428216196860947
Linear,0,-1.5066857142857142,-0.8100873093413771
Linear,1,-1.5066857142857142,-0.7975745604095754
Linear,0,-1.5066857142857142,-0.947156482067092
Linear,1,-1.5066857142857142,-0.7281799640708758
Linear,0,-1.5066857142857142,-0.7936037084880773
Linear,1,-1.5066857142857142,-1.0123582295506983
Linear,0,-1.5066857142857142,-1.1656312851992685
Linear,1,-1.5066857142857142,-0.9990610623780107
Linear,0,-1.5066857142857142,-0.7319805146812733
Linear,1,-1.5066857142857142,-0.8865981165623847
Linear,0,-1.5066857142857142,-0.7964838847371122
Linear,1,-1.5066857142857142,-0.721202479403715
Linear,0,-1.5066857142857142,-0.6119185015877561
Linear,1,-1.5066857142857142,-0.7504154061398173
Linear,0,-1.5066857142857142,-0.6196864202312576
Linear,1,-1.5066857142857142,-0.8326532710452536
Linear,0,-1.5066857142857142,-0.9031169633190647
Linear,1,-1.5066857142857142,-0.6518628240949713
Linear,0,-1.5066857142857142,-0.8167320359138383
Linear,1,-1.5066857142857142,-0.5368074748108042
Linear,0,-1.5066857142857142,-0.9171057502569437
Linear,1,-1.5066857142857142,-0.9280016283237448
Linear,0,-1.5066857142857142,-0.24800903434643878
Linear,1,-1.5066857142857142,-0.8822778817078033
Linear,0,-1.5066857142857142,-0.5924503932263769
Linear,1,-1.5066857142857142,-1.0015693112164088
Linear,0,-1.5066857142857142,-0.5115785799556957
Linear,1,-1.5066857142857142,-0.8951001032301601
Linear,0,-1.5066857142857142,-0.7656241779014379
Linear,1,-1.5066857142857142,-1.0637218577779237
Linear,0,-1.5066857142857142,-0.6184481988779466
Linear,1,-1.5066857142857142,-0.6769371571838643
Linear,0,-1.5066857142857142,-1.2290438746608843
Linear,1,-1.5066857142857142,-0.5270035662917599
Linear,0,-1.5066857142857142,-0.5505825781514986
Linear,1,-1.5066857142857142,-0.29241534920181467
Linear,0,-1.5066857142857142,-0.905772259052155
Linear,1,-1.5066857142857142,-0.9086982035492255
Linear,0,-1.5066857142857142,-0.8609814064129131
Linear,1,-1.5066857142857142,-0.774166834574741
Linear,0,-1.5066857142857142,-0.9303987620886998
Linear,1,-1.5066857142857142,-0.6464616639221483
Linear,0,-1.5066857142857142,-0.7314393412806067
Linear,1,-1.5066857142857142,-0.5563618769476512
Linear,0,-1.5066857142857142,-1.0170285866498607
Linear,1,-1.5066857142857142,-0.7192462226972087
Linear,0,-1.5066857142857142,-0.6162829607456979
Linear,1,-1.5066857142857142,-0.7950602132540545
Linear,0,-1.5066857142857142,-0.6171265231086169
Linear,1,-1.5066857142857142,-0.688394663218886
Linear,0,-1.5066857142857142,-0.6930521441531867
Linear,1,-1.5066857142857142,-0.5675391242079552
Linear,0,-1.5066857142857142,-0.8847943936828738
Linear,1,-1.5066857142857142,-0.7687947769996231
Linear,0,-1.5066857142857142,-0.9122374319259122
Linear,1,-1.5066857142857142,-0.5553138743200338
Linear,0,-1.5066857142857142,-0.7034521800182578
Linear,1,-1.5066857142857142,-0.49630394603057554
Linear,0,-1.5066857142857142,-0.6290466570862256
Linear,1,-1.5066857142857142,-1.0905173040495126
Linear,0,-1.4425714285714286,-0.5013919639156137
Linear,1,-1.4425714285714286,-0.772892553652836
Linear,0,-1.4425714285714286,-0.6531588554756196
Linear,1,-1.4425714285714286,-0.9370347919785277
Linear,0,-1.4425714285714286,-1.162349767630479
Linear,1,-1.4425714285714286,-0.5695051327055538
Linear,0,-1.4425714285714286,-0.848099309841136
Linear,1,-1.4425714285714286,-0.28837014754284573
Linear,0,-1.4425714285714286,-0.6355316900887279
Linear,1,-1.4425714285714286,-0.1347262129836088
Linear,0,-1.4425714285714286,-0.4272463037969339
Linear,1,-1.4425714285714286,-0.6236703204214429
Linear,0,-1.4425714285714286,-1.267552264171447
Linear,1,-1.4425714285714286,-1.314352873326589
Linear,0,-1.4425714285714286,-0.827702556657273
Linear,1,-1.4425714285714286,-1.134916095480074
Linear,0,-1.4425714285714286,-0.8417938466894725
Linear,1,-1.4425714285714286,-0.6395495505531128
Linear,0,-1.4425714285714286,-0.7724189636504718
Linear,1,-1.4425714285714286,-0.9615962005122115
Linear,0,-1.4425714285714286,-1.2168500083225442
Linear,1,-1.4425714285714286,-1.302758210112109
Linear,0,-1.4425714285714286,-0.8900121556681985
Linear,1,-1.4425714285714286,-0.7596337263984432
Linear,0,-1.4425714285714286,-1.3200044229247925
Linear,1,-1.4425714285714286,-1.2058443455843717
Linear,0,-1.4425714285714286,-1.2890093821697255
Linear,1,-1.4425714285714286,-1.2183603353422192
Linear,0,-1.4425714285714286,-1.0728343981018031
Linear,1,-1.4425714285714286,-0.6081590074000687
Linear,0,-1.4425714285714286,-1.0402036069904537
Linear,1,-1.4425714285714286,-0.8246867723181988
Linear,0,-1.4425714285714286,-0.7087726264853643
Linear,1,-1.4425714285714286,-0.7427087327716421
Linear,0,-1.4425714285714286,-1.1634793117290343
Linear,1,-1.4425714285714286,-0.794487233826417
Linear,0,-1.4425714285714286,-0.9349487438582005
Linear,1,-1.4425714285714286,-1.0291175353650068
Linear,0,-1.4425714285714286,-1.2720875317554028
Linear,1,-1.4425714285714286,-0.9979473475391916
Linear,0,-1.4425714285714286,-1.529727729994403
Linear,1,-1.4425714285714286,-1.0992160114534137
Linear,0,-1.4425714285714286,-1.5428359278533248
Linear,1,-1.4425714285714286,-0.7935419239826443
Linear,0,-1.4425714285714286,-1.4626658821872371
Linear,1,-1.4425714285714286,-1.1057743635153687
Linear,0,-1.4425714285714286,-1.1871002851915573
Linear,1,-1.4425714285714286,-1.2126469188750653
Linear,0,-1.4425714285714286,-1.3098572996369362
Linear,1,-1.4425714285714286,-0.6736587506985394
Linear,0,-1.4425714285714286,-1.074750986435279
Linear,1,-1.4425714285714286,-0.8318309104512858
Linear,0,-1.4425714285714286,-1.425372213827718
Linear,1,-1.4425714285714286,-0.5172111996674955
Linear,0,-1.4425714285714286,-1.0797419705536815
Linear,1,-1.4425714285714286,-0.4494549522762531
Linear,0,-1.4425714285714286,-0.8604316912080691
Linear,1,-1.4425714285714286,-0.5672413373935996
Linear,0,-1.4425714285714286,-0.783819906614657
Linear,1,-1.4425714285714286,-0.7511950752151996
Linear,0,-1.4425714285714286,-0.9307914566227878
Linear,1,-1.4425714285714286,-1.0085028608520887
Linear,0,-1.4425714285714286,-0.8746869856724461
Linear,1,-1.4425714285714286,-1.0871739450213158
Linear,0,-1.4425714285714286,-1.1997423077082425
Linear,1,-1.4425714285714286,-0.7277643142312702
Linear,0,-1.4425714285714286,-1.110825713304737
Linear,1,-1.4425714285714286,-0.8635122717354681
Linear,0,-1.4425714285714286,-0.967623406466917
Linear,1,-1.4425714285714286,-0.6823004616780323
Linear,0,-1.4425714285714286,-0.7687459667902314
Linear,1,-1.4425714285714286,-0.8516203378750027
Linear,0,-1.4425714285714286,-0.972151117324247
Linear,1,-1.4425714285714286,-0.9644150778850926
Linear,0,-1.4425714285714286,-1.1964859504296608
Linear,1,-1.4425714285714286,-0.8490540002026755
