Iteration,Modelname,Metricname,Joint,Result
0,kNN,Mean Square Error,0,0.694847454333463
0,kNN,Mean Square Error,3,0.030242829382044315
0,kNN,R squared,0,0.06359590115158242
0,kNN,R squared,3,0.9504881600942734
0,kNN,Standard Deviation of Error,0,0.8328755658953839
0,kNN,Standard Deviation of Error,3,0.1401661708496134
0,kNN,Standard deviation per Recording (avg),0,0.3091246525454993
0,kNN,Standard deviation per Recording (avg),3,0.08492044086240857
0,kNN,Ratio of Outliers (>= 0.5 rad),0,0.621064904780412
0,kNN,Ratio of Outliers (>= 0.5 rad),3,0.011270890011659542
0,Linear,Mean Square Error,0,0.46716818825158074
0,Linear,Mean Square Error,3,0.017127804325072122
0,Linear,R squared,0,0.37042554649638304
0,Linear,R squared,3,0.9719593330714265
0,Linear,Standard Deviation of Error,0,0.6809340119511417
0,Linear,Standard Deviation of Error,3,0.13085471492151052
0,Linear,Standard deviation per Recording (avg),0,0.4372491881376081
0,Linear,Standard deviation per Recording (avg),3,0.1169632521401198
0,Linear,Ratio of Outliers (>= 0.5 rad),0,0.47065682083171395
0,Linear,Ratio of Outliers (>= 0.5 rad),3,0.000388651379712398
0,3-Layer FC,Mean Square Error,0,0.4016437229408817
0,3-Layer FC,Mean Square Error,3,0.011787079664845289
0,3-Layer FC,R squared,0,0.4587289251863821
0,3-Layer FC,R squared,3,0.9807028636788739
0,3-Layer FC,Standard Deviation of Error,0,0.6335762526561006
0,3-Layer FC,Standard Deviation of Error,3,0.10775828507413412
0,3-Layer FC,Standard deviation per Recording (avg),0,0.44107446382785664
0,3-Layer FC,Standard deviation per Recording (avg),3,0.09401079118251801
0,3-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.422852701127089
0,3-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.0
0,4-Layer FC,Mean Square Error,0,0.36611578526113003
0,4-Layer FC,Mean Square Error,3,0.011829517307516302
0,4-Layer FC,R squared,0,0.5066077887548808
0,4-Layer FC,R squared,3,0.9806333871843516
0,4-Layer FC,Standard Deviation of Error,0,0.6011996102789643
0,4-Layer FC,Standard Deviation of Error,3,0.10874033457685722
0,4-Layer FC,Standard deviation per Recording (avg),0,0.4112946863832145
0,4-Layer FC,Standard deviation per Recording (avg),3,0.08644262701272964
0,4-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.3983676642052079
0,4-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.0
0,5-Layer FC,Mean Square Error,0,0.3704091996835247
0,5-Layer FC,Mean Square Error,3,0.0157293044977593
0,5-Layer FC,R squared,0,0.5008218125120207
0,5-Layer FC,R squared,3,0.974248877435262
0,5-Layer FC,Standard Deviation of Error,0,0.6057949848721863
0,5-Layer FC,Standard Deviation of Error,3,0.12541650794529488
0,5-Layer FC,Standard deviation per Recording (avg),0,0.41097093656145295
0,5-Layer FC,Standard deviation per Recording (avg),3,0.08362417340278626
0,5-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.4061406917994559
0,5-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.0
0,1-Channel CNN,Mean Square Error,0,0.3637155987674057
0,1-Channel CNN,Mean Square Error,3,0.012126883339362774
0,1-Channel CNN,R squared,0,0.5098423756511947
0,1-Channel CNN,R squared,3,0.980146556432632
0,1-Channel CNN,Standard Deviation of Error,0,0.5983784034712297
0,1-Channel CNN,Standard Deviation of Error,3,0.10308052769684185
0,1-Channel CNN,Standard deviation per Recording (avg),0,0.4358428593339591
0,1-Channel CNN,Standard deviation per Recording (avg),3,0.09388390988111496
0,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.39486980178779635
0,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.0
0,2-Channel CNN,Mean Square Error,0,0.3064607521963268
0,2-Channel CNN,Mean Square Error,3,0.010651357691512216
0,2-Channel CNN,R squared,0,0.5870012868247627
0,2-Channel CNN,R squared,3,0.9825622030882504
0,2-Channel CNN,Standard Deviation of Error,0,0.5535446837915377
0,2-Channel CNN,Standard Deviation of Error,3,0.10296099100139038
0,2-Channel CNN,Standard deviation per Recording (avg),0,0.43957143302621515
0,2-Channel CNN,Standard deviation per Recording (avg),3,0.09492714643478393
0,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.33385153517294985
0,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.0
0,3-Channel CNN,Mean Square Error,0,0.238645886903213
0,3-Channel CNN,Mean Square Error,3,0.008413717275000544
0,3-Channel CNN,R squared,0,0.678391299736647
0,3-Channel CNN,R squared,3,0.9862255406903429
0,3-Channel CNN,Standard Deviation of Error,0,0.4877099775311939
0,3-Channel CNN,Standard Deviation of Error,3,0.0916397430500313
0,3-Channel CNN,Standard deviation per Recording (avg),0,0.39497218255338995
0,3-Channel CNN,Standard deviation per Recording (avg),3,0.08332327634096146
0,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.2833268558103381
0,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.0
0,4-Channel CNN,Mean Square Error,0,0.236822451022106
0,4-Channel CNN,Mean Square Error,3,0.007077393386885926
0,4-Channel CNN,R squared,0,0.6808486345407211
0,4-Channel CNN,R squared,3,0.9884132941433915
