,Iteration,Modelname,Metricname,Result
0,0,1,Mean Square Error,0.15703272595309287
1,0,1,R squared,0.42207885863373507
2,0,1,Standard Deviation of Error,0.3609250804779688
3,0,1,Standard deviation per Recording (avg),0.24228206528255095
4,0,1,Ratio of Outliers (>= 0.5 rad),0.15496098104793757
5,0,2,Mean Square Error,0.13590366634351803
6,0,2,R squared,0.4998392755878982
7,0,2,Standard Deviation of Error,0.3216883231938558
8,0,2,Standard deviation per Recording (avg),0.19667888138316772
9,0,2,Ratio of Outliers (>= 0.5 rad),0.15830546265328874
10,0,3,Mean Square Error,0.11821799272287738
11,0,3,R squared,0.5649271394241597
12,0,3,Standard Deviation of Error,0.29375836055160204
13,0,3,Standard deviation per Recording (avg),0.16946061686623445
14,0,3,Ratio of Outliers (>= 0.5 rad),0.12931995540691194
15,0,4,Mean Square Error,0.11069045967737204
16,0,4,R squared,0.5926304125026021
17,0,4,Standard Deviation of Error,0.2805689993837386
18,0,4,Standard deviation per Recording (avg),0.1541318214946354
19,0,4,Ratio of Outliers (>= 0.5 rad),0.1326644370122631
20,0,5,Mean Square Error,0.10855231062511947
21,0,5,R squared,0.600499355318115
22,0,5,Standard Deviation of Error,0.2761257172331643
23,0,5,Standard deviation per Recording (avg),0.14505555991022606
24,0,5,Ratio of Outliers (>= 0.5 rad),0.13377926421404682
25,0,6,Mean Square Error,0.10723790992489621
26,0,6,R squared,0.6053366906459915
27,0,6,Standard Deviation of Error,0.27276754537321707
28,0,6,Standard deviation per Recording (avg),0.13792256159510793
29,0,6,Ratio of Outliers (>= 0.5 rad),0.13154960981047936
30,0,7,Mean Square Error,0.10879804675927683
31,0,7,R squared,0.5995949826386929
32,0,7,Standard Deviation of Error,0.2729509045425604
33,0,7,Standard deviation per Recording (avg),0.13140286818695196
34,0,7,Ratio of Outliers (>= 0.5 rad),0.13377926421404682
35,0,8,Mean Square Error,0.10863279173176915
36,0,8,R squared,0.6002031639813659
37,0,8,Standard Deviation of Error,0.2713660117515873
38,0,8,Standard deviation per Recording (avg),0.126525766544119
39,0,8,Ratio of Outliers (>= 0.5 rad),0.13823857302118173
40,0,9,Mean Square Error,0.10760599731112527
41,0,9,R squared,0.6039820336400654
42,0,9,Standard Deviation of Error,0.2675185965607675
43,0,9,Standard deviation per Recording (avg),0.12231132772165124
44,0,9,Ratio of Outliers (>= 0.5 rad),0.14381270903010032
45,0,10,Mean Square Error,0.10667636451963904
46,0,10,R squared,0.6074033233148541
47,0,10,Standard Deviation of Error,0.2652685617539525
48,0,10,Standard deviation per Recording (avg),0.11784550388779659
49,0,10,Ratio of Outliers (>= 0.5 rad),0.14604236343366778
50,0,11,Mean Square Error,0.10704571412012129
51,0,11,R squared,0.6060440210332543
52,0,11,Standard Deviation of Error,0.2647930368261418
53,0,11,Standard deviation per Recording (avg),0.11562801155392219
54,0,11,Ratio of Outliers (>= 0.5 rad),0.1415830546265329
55,0,12,Mean Square Error,0.10720700784759103
56,0,12,R squared,0.6054504183016658
57,0,12,Standard Deviation of Error,0.26463969375019575
58,0,12,Standard deviation per Recording (avg),0.11294388105334406
59,0,12,Ratio of Outliers (>= 0.5 rad),0.1415830546265329
60,0,13,Mean Square Error,0.1077282010596733
61,0,13,R squared,0.6035322921647681
62,0,13,Standard Deviation of Error,0.26534873959064653
63,0,13,Standard deviation per Recording (avg),0.11128725690036376
64,0,13,Ratio of Outliers (>= 0.5 rad),0.14381270903010032
65,0,14,Mean Square Error,0.11008234123273315
66,0,14,R squared,0.5948684460301902
67,0,14,Standard Deviation of Error,0.2681503613915434
68,0,14,Standard deviation per Recording (avg),0.11109586606944975
69,0,14,Ratio of Outliers (>= 0.5 rad),0.14604236343366778
70,0,15,Mean Square Error,0.1103695675704883
71,0,15,R squared,0.5938113786454242
72,0,15,Standard Deviation of Error,0.26765878693109263
73,0,15,Standard deviation per Recording (avg),0.10988235738915479
74,0,15,Ratio of Outliers (>= 0.5 rad),0.1505016722408027
75,0,16,Mean Square Error,0.11018065964732386
76,0,16,R squared,0.5945066087759955
77,0,16,Standard Deviation of Error,0.26710052314246185
78,0,16,Standard deviation per Recording (avg),0.10778725806956165
79,0,16,Ratio of Outliers (>= 0.5 rad),0.14492753623188406
80,0,17,Mean Square Error,0.11109068162328722
81,0,17,R squared,0.5911574919863256
82,0,17,Standard Deviation of Error,0.26761115212909387
83,0,17,Standard deviation per Recording (avg),0.10691992016582068
84,0,17,Ratio of Outliers (>= 0.5 rad),0.14938684503901895
85,0,18,Mean Square Error,0.11135791340693722
86,0,18,R squared,0.5901740097441432
87,0,18,Standard Deviation of Error,0.2674917694476836
88,0,18,Standard deviation per Recording (avg),0.10560181597973985
89,0,18,Ratio of Outliers (>= 0.5 rad),0.14492753623188406
90,0,19,Mean Square Error,0.11219022706430173
91,0,19,R squared,0.5871108797123656
92,0,19,Standard Deviation of Error,0.2682470254638531
93,0,19,Standard deviation per Recording (avg),0.10479694565694218
94,0,19,Ratio of Outliers (>= 0.5 rad),0.14827201783723523
95,0,20,Mean Square Error,0.11237566730157612
96,0,20,R squared,0.5864284115648479
97,0,20,Standard Deviation of Error,0.2685447921446153
98,0,20,Standard deviation per Recording (avg),0.10344659338519623
99,0,20,Ratio of Outliers (>= 0.5 rad),0.14715719063545152
100,0,21,Mean Square Error,0.11291781617349608
101,0,21,R squared,0.5844331631671096
102,0,21,Standard Deviation of Error,0.26889496911312055
103,0,21,Standard deviation per Recording (avg),0.10207095348398428
104,0,21,Ratio of Outliers (>= 0.5 rad),0.15496098104793757
105,0,22,Mean Square Error,0.11298163059075918
106,0,22,R squared,0.5841983095680494
107,0,22,Standard Deviation of Error,0.268487994216197
108,0,22,Standard deviation per Recording (avg),0.10041801933428549
109,0,22,Ratio of Outliers (>= 0.5 rad),0.1527313266443701
110,0,23,Mean Square Error,0.11273625507435864
111,0,23,R squared,0.5851013550806382
112,0,23,Standard Deviation of Error,0.26791640916888876
113,0,23,Standard deviation per Recording (avg),0.09930402943847394
114,0,23,Ratio of Outliers (>= 0.5 rad),0.15384615384615385
115,0,24,Mean Square Error,0.11326515086057762
116,0,24,R squared,0.5831548814740679
117,0,24,Standard Deviation of Error,0.2679177198260305
118,0,24,Standard deviation per Recording (avg),0.09758712601335828
119,0,24,Ratio of Outliers (>= 0.5 rad),0.1527313266443701
120,1,1,Mean Square Error,0.23623112404016208
121,1,1,R squared,-0.3987540222716628
122,1,1,Standard Deviation of Error,0.42932290587297683
123,1,1,Standard deviation per Recording (avg),0.28302731794691394
124,1,1,Ratio of Outliers (>= 0.5 rad),0.22965440356744704
125,1,2,Mean Square Error,0.19461473141168198
126,1,2,R squared,-0.15233815807069173
127,1,2,Standard Deviation of Error,0.37454911559361526
128,1,2,Standard deviation per Recording (avg),0.21334911131289153
129,1,2,Ratio of Outliers (>= 0.5 rad),0.20735785953177258
130,1,3,Mean Square Error,0.18409484761790285
131,1,3,R squared,-0.09004861078869442
132,1,3,Standard Deviation of Error,0.3569550966873272
133,1,3,Standard deviation per Recording (avg),0.1809782689395239
134,1,3,Ratio of Outliers (>= 0.5 rad),0.19843924191750278
135,1,4,Mean Square Error,0.18134246299010912
136,1,4,R squared,-0.0737513972669459
137,1,4,Standard Deviation of Error,0.34954897293825976
138,1,4,Standard deviation per Recording (avg),0.1672580478279893
139,1,4,Ratio of Outliers (>= 0.5 rad),0.2040133779264214
140,1,5,Mean Square Error,0.17663262649855901
141,1,5,R squared,-0.045863866512626084
142,1,5,Standard Deviation of Error,0.3419866336260825
143,1,5,Standard deviation per Recording (avg),0.15012044423225251
144,1,5,Ratio of Outliers (>= 0.5 rad),0.19843924191750278
145,1,6,Mean Square Error,0.1769161006229415
146,1,6,R squared,-0.04754235224688741
147,1,6,Standard Deviation of Error,0.3408383987893991
148,1,6,Standard deviation per Recording (avg),0.14538508385464777
149,1,6,Ratio of Outliers (>= 0.5 rad),0.20066889632107024
150,1,7,Mean Square Error,0.1762331800159237
151,1,7,R squared,-0.04349869394470729
152,1,7,Standard Deviation of Error,0.3392965541824355
153,1,7,Standard deviation per Recording (avg),0.13982102252661005
154,1,7,Ratio of Outliers (>= 0.5 rad),0.20066889632107024
155,1,8,Mean Square Error,0.17538529803216354
156,1,8,R squared,-0.03847827870511944
157,1,8,Standard Deviation of Error,0.3369495983583895
158,1,8,Standard deviation per Recording (avg),0.13455048432999303
159,1,8,Ratio of Outliers (>= 0.5 rad),0.20512820512820512
160,1,9,Mean Square Error,0.1744171228818773
161,1,9,R squared,-0.032745592585841976
162,1,9,Standard Deviation of Error,0.3341910901228383
163,1,9,Standard deviation per Recording (avg),0.13157714365120812
164,1,9,Ratio of Outliers (>= 0.5 rad),0.1995540691192865
165,1,10,Mean Square Error,0.17347707045396699
166,1,10,R squared,-0.027179424622037818
167,1,10,Standard Deviation of Error,0.33190120094403497
168,1,10,Standard deviation per Recording (avg),0.1276532195087126
169,1,10,Ratio of Outliers (>= 0.5 rad),0.19509476031215162
170,1,11,Mean Square Error,0.17518562681401761
171,1,11,R squared,-0.03729600045686454
172,1,11,Standard Deviation of Error,0.333039998366133
173,1,11,Standard deviation per Recording (avg),0.12583919436321356
174,1,11,Ratio of Outliers (>= 0.5 rad),0.20066889632107024
175,1,12,Mean Square Error,0.17472489631261953
176,1,12,R squared,-0.034567957551289386
177,1,12,Standard Deviation of Error,0.33207544084955415
178,1,12,Standard deviation per Recording (avg),0.12429787565939263
179,1,12,Ratio of Outliers (>= 0.5 rad),0.1995540691192865
180,1,13,Mean Square Error,0.17491772254556315
181,1,13,R squared,-0.035709705786308055
182,1,13,Standard Deviation of Error,0.332147135362366
183,1,13,Standard deviation per Recording (avg),0.12103550333689242
184,1,13,Ratio of Outliers (>= 0.5 rad),0.1995540691192865
185,1,14,Mean Square Error,0.17503110171495406
186,1,14,R squared,-0.03638103802447845
187,1,14,Standard Deviation of Error,0.3313246403086283
188,1,14,Standard deviation per Recording (avg),0.1195992838133176
189,1,14,Ratio of Outliers (>= 0.5 rad),0.20178372352285395
190,1,15,Mean Square Error,0.1751901277276344
191,1,15,R squared,-0.03732265092915488
192,1,15,Standard Deviation of Error,0.33080667182223866
193,1,15,Standard deviation per Recording (avg),0.1181371238118005
194,1,15,Ratio of Outliers (>= 0.5 rad),0.1995540691192865
195,1,16,Mean Square Error,0.17588625137579614
196,1,16,R squared,-0.04144448608877216
197,1,16,Standard Deviation of Error,0.33111112516237134
198,1,16,Standard deviation per Recording (avg),0.11756999629439668
199,1,16,Ratio of Outliers (>= 0.5 rad),0.19620958751393533
200,1,17,Mean Square Error,0.1760590630034768
201,1,17,R squared,-0.04246772534353083
202,1,17,Standard Deviation of Error,0.33090002093083865
203,1,17,Standard deviation per Recording (avg),0.11551200222100347
204,1,17,Ratio of Outliers (>= 0.5 rad),0.19286510590858416
205,1,18,Mean Square Error,0.17637536780865207
206,1,18,R squared,-0.04434060564370479
207,1,18,Standard Deviation of Error,0.3306873364568199
