Iteration,Modelname,Metricname,Joint,Result
0,kNN,Mean Square Error,0,0.06338968003047027
0,kNN,Mean Square Error,3,0.17790664593859318
0,kNN,R squared,0,0.9266576678960847
0,kNN,R squared,3,0.7129234046643037
0,kNN,Standard Deviation of Error,0,0.24979169774937496
0,kNN,Standard Deviation of Error,3,0.36467567675881896
0,kNN,Standard deviation per Recording (avg),0,0.14756133873342298
0,kNN,Standard deviation per Recording (avg),3,0.1696507625156868
0,kNN,Ratio of Outliers (>= 0.5 rad),0,0.05363389040031092
0,kNN,Ratio of Outliers (>= 0.5 rad),3,0.19976680917217257
0,Linear,Mean Square Error,0,0.09756181651616877
0,Linear,Mean Square Error,3,0.09293874794487715
0,Linear,R squared,0,0.8871202513697715
0,Linear,R squared,3,0.8500306765156659
0,Linear,Standard Deviation of Error,0,0.31207050973551836
0,Linear,Standard Deviation of Error,3,0.3040359718770369
0,Linear,Standard deviation per Recording (avg),0,0.24284926010266977
0,Linear,Standard deviation per Recording (avg),3,0.24191007077742643
0,Linear,Ratio of Outliers (>= 0.5 rad),0,0.08161678973960358
0,Linear,Ratio of Outliers (>= 0.5 rad),3,0.07306645938593082
0,3-Layer FC,Mean Square Error,0,0.058350328188267686
0,3-Layer FC,Mean Square Error,3,0.038007558486806314
0,3-Layer FC,R squared,0,0.9324882355251
0,3-Layer FC,R squared,3,0.9386696296259736
0,3-Layer FC,Standard Deviation of Error,0,0.2407512234472908
0,3-Layer FC,Standard Deviation of Error,3,0.1939139152952137
0,3-Layer FC,Standard deviation per Recording (avg),0,0.16150982677936554
0,3-Layer FC,Standard deviation per Recording (avg),3,0.15344633162021637
0,3-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.024485036921881073
0,3-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.016323357947920714
0,4-Layer FC,Mean Square Error,0,0.054523120928481716
0,4-Layer FC,Mean Square Error,3,0.040458093521985795
0,4-Layer FC,R squared,0,0.93691634284072
0,4-Layer FC,R squared,3,0.9347153577046594
0,4-Layer FC,Standard Deviation of Error,0,0.23152094390476377
0,4-Layer FC,Standard Deviation of Error,3,0.19999540538983512
0,4-Layer FC,Standard deviation per Recording (avg),0,0.14929036796092987
0,4-Layer FC,Standard deviation per Recording (avg),3,0.14589503407478333
0,4-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.02293043140303148
0,4-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.015934706568208317
0,5-Layer FC,Mean Square Error,0,0.058471466106933795
0,5-Layer FC,Mean Square Error,3,0.04606383633963507
0,5-Layer FC,R squared,0,0.9323480780506197
0,5-Layer FC,R squared,3,0.9256697284425927
0,5-Layer FC,Standard Deviation of Error,0,0.24118090045482704
0,5-Layer FC,Standard Deviation of Error,3,0.21210522851673905
0,5-Layer FC,Standard deviation per Recording (avg),0,0.1478448361158371
0,5-Layer FC,Standard deviation per Recording (avg),3,0.14708897471427917
0,5-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.02565099106101827
0,5-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.020209871745044693
0,1-Channel CNN,Mean Square Error,0,0.03630453724154477
0,1-Channel CNN,Mean Square Error,3,0.03932280423868419
0,1-Channel CNN,R squared,0,0.9579953799109185
0,1-Channel CNN,R squared,3,0.9365473015336933
0,1-Channel CNN,Standard Deviation of Error,0,0.19034335080264325
0,1-Channel CNN,Standard Deviation of Error,3,0.19681646160937596
0,1-Channel CNN,Standard deviation per Recording (avg),0,0.1513361781835556
0,1-Channel CNN,Standard deviation per Recording (avg),3,0.17547063529491425
0,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.015157403808783521
0,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.01671200932763311
0,2-Channel CNN,Mean Square Error,0,0.029449712209995465
0,2-Channel CNN,Mean Square Error,3,0.02374009850273712
0,2-Channel CNN,R squared,0,0.9659264635468741
0,2-Channel CNN,R squared,3,0.9616921188348849
0,2-Channel CNN,Standard Deviation of Error,0,0.1715918587062045
0,2-Channel CNN,Standard Deviation of Error,3,0.15286830901073406
0,2-Channel CNN,Standard deviation per Recording (avg),0,0.10543522238731384
0,2-Channel CNN,Standard deviation per Recording (avg),3,0.13389404118061066
0,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.011659541391371939
0,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.004663816556548776
0,3-Channel CNN,Mean Square Error,0,0.023046105743711093
0,3-Channel CNN,Mean Square Error,3,0.023338924871336507
0,3-Channel CNN,R squared,0,0.9733354839408443
0,3-Channel CNN,R squared,3,0.9623394671092191
0,3-Channel CNN,Standard Deviation of Error,0,0.15063842607227093
0,3-Channel CNN,Standard Deviation of Error,3,0.1510971077721271
0,3-Channel CNN,Standard deviation per Recording (avg),0,0.09504101425409317
0,3-Channel CNN,Standard deviation per Recording (avg),3,0.13228574395179749
0,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.00971628449280995
0,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.005441119315973571
0,4-Channel CNN,Mean Square Error,0,0.012565969080503166
0,4-Channel CNN,Mean Square Error,3,0.02332684604537367
0,4-Channel CNN,R squared,0,0.9854610801463773
0,4-Channel CNN,R squared,3,0.9623589579394508
0,4-Channel CNN,Standard Deviation of Error,0,0.10991635418487782
